unit,sex,age,acl00,geo,TIME_PERIOD,OBS_VALUE
PTP_TIME,T,TOTAL,AC0,ES,2000,11:08
PTP_TIME,T,TOTAL,AC0,ES,2010,11:27
TIME_SP,T,TOTAL,AC0,ES,2000,11:08
TIME_SP,T,TOTAL,AC0,ES,2010,11:27
PTP_RT,F,TOTAL,AC0,FI,2000,100.0
PTP_RT,F,TOTAL,AC0,FI,2010,100
PTP_TIME,F,TOTAL,AC0,FI,2000,10:38
PTP_TIME,F,TOTAL,AC0,FI,2010,10:58
TIME_SP,F,TOTAL,AC0,FI,2000,10:38
TIME_SP,F,TOTAL,AC0,FI,2010,10:58
PTP_RT,M,TOTAL,AC0,FI,2000,99.9
PTP_RT,M,TOTAL,AC0,FI,2010,100
PTP_TIME,M,TOTAL,AC0,FI,2000,10:23
PTP_TIME,M,TOTAL,AC0,FI,2010,10:38
TIME_SP,M,TOTAL,AC0,FI,2000,10:23
TIME_SP,M,TOTAL,AC0,FI,2010,10:38
PTP_RT,T,TOTAL,AC0,FI,2000,100.0
PTP_RT,T,TOTAL,AC0,FI,2010,100
PTP_TIME,T,TOTAL,AC0,FI,2000,10:31
PTP_TIME,T,TOTAL,AC0,FI,2010,10:48
TIME_SP,T,TOTAL,AC0,FI,2000,10:31
TIME_SP,T,TOTAL,AC0,FI,2010,10:48
PTP_RT,F,TOTAL,AC0,FR,2000,100.0
PTP_RT,F,TOTAL,AC0,FR,2010,100
PTP_TIME,F,TOTAL,AC0,FR,2000,11:53
PTP_TIME,F,TOTAL,AC0,FR,2010,11:43
TIME_SP,F,TOTAL,AC0,FR,2000,11:53
TIME_SP,F,TOTAL,AC0,FR,2010,11:43
PTP_RT,M,TOTAL,AC0,FR,2000,100.0
PTP_RT,M,TOTAL,AC0,FR,2010,100
PTP_TIME,M,TOTAL,AC0,FR,2000,11:44
PTP_TIME,M,TOTAL,AC0,FR,2010,11:27
TIME_SP,M,TOTAL,AC0,FR,2000,11:44
TIME_SP,M,TOTAL,AC0,FR,2010,11:27
PTP_RT,T,TOTAL,AC0,FR,2000,100.0
PTP_RT,T,TOTAL,AC0,FR,2010,100
PTP_TIME,T,TOTAL,AC0,FR,2000,11:49
PTP_TIME,T,TOTAL,AC0,FR,2010,11:35
TIME_SP,T,TOTAL,AC0,FR,2000,11:49
TIME_SP,T,TOTAL,AC0,FR,2010,11:35
PTP_RT,F,TOTAL,AC0,HU,2010,100
PTP_TIME,F,TOTAL,AC0,HU,2010,11:29
TIME_SP,F,TOTAL,AC0,HU,2010,11:29
PTP_RT,M,TOTAL,AC0,HU,2010,100
PTP_TIME,M,TOTAL,AC0,HU,2010,11:36
TIME_SP,M,TOTAL,AC0,HU,2010,11:36
PTP_RT,T,TOTAL,AC0,HU,2010,100
PTP_TIME,T,TOTAL,AC0,HU,2010,11:32
TIME_SP,T,TOTAL,AC0,HU,2010,11:32
PTP_RT,F,TOTAL,AC0,IT,2000,100.0
PTP_RT,F,TOTAL,AC0,IT,2010,100
PTP_TIME,F,TOTAL,AC0,IT,2000,11:12
PTP_TIME,F,TOTAL,AC0,IT,2010,11:25
TIME_SP,F,TOTAL,AC0,IT,2000,11:12
TIME_SP,F,TOTAL,AC0,IT,2010,11:25
PTP_RT,M,TOTAL,AC0,IT,2000,100.0
PTP_RT,M,TOTAL,AC0,IT,2010,100
PTP_TIME,M,TOTAL,AC0,IT,2000,11:16
PTP_TIME,M,TOTAL,AC0,IT,2010,11:23
TIME_SP,M,TOTAL,AC0,IT,2000,11:16
TIME_SP,M,TOTAL,AC0,IT,2010,11:23
PTP_RT,T,TOTAL,AC0,IT,2000,100.0
PTP_RT,T,TOTAL,AC0,IT,2010,100
PTP_TIME,T,TOTAL,AC0,IT,2000,11:14
PTP_TIME,T,TOTAL,AC0,IT,2010,11:24
TIME_SP,T,TOTAL,AC0,IT,2000,11:14
TIME_SP,T,TOTAL,AC0,IT,2010,11:24
PTP_RT,F,TOTAL,AC0,LT,2000,100.0
PTP_TIME,F,TOTAL,AC0,LT,2000,10:56
TIME_SP,F,TOTAL,AC0,LT,2000,10:56
PTP_RT,M,TOTAL,AC0,LT,2000,100.0
PTP_TIME,M,TOTAL,AC0,LT,2000,10:53
TIME_SP,M,TOTAL,AC0,LT,2000,10:53
PTP_RT,T,TOTAL,AC0,LT,2000,100.0
PTP_TIME,T,TOTAL,AC0,LT,2000,10:55
TIME_SP,T,TOTAL,AC0,LT,2000,10:55
PTP_RT,F,TOTAL,AC0,LU,2010,100
PTP_TIME,F,TOTAL,AC0,LU,2010,11:36
TIME_SP,F,TOTAL,AC0,LU,2010,11:36
PTP_RT,M,TOTAL,AC0,LU,2010,100
PTP_TIME,M,TOTAL,AC0,LU,2010,11:22
TIME_SP,M,TOTAL,AC0,LU,2010,11:22
PTP_RT,T,TOTAL,AC0,LU,2010,100
PTP_TIME,T,TOTAL,AC0,LU,2010,11:29
TIME_SP,T,TOTAL,AC0,LU,2010,11:29
PTP_RT,F,TOTAL,AC0,LV,2000,100.0
PTP_TIME,F,TOTAL,AC0,LV,2000,10:53
TIME_SP,F,TOTAL,AC0,LV,2000,10:53
PTP_RT,M,TOTAL,AC0,LV,2000,100.0
PTP_TIME,M,TOTAL,AC0,LV,2000,10:46
TIME_SP,M,TOTAL,AC0,LV,2000,10:46
PTP_RT,T,TOTAL,AC0,LV,2000,100.0
PTP_TIME,T,TOTAL,AC0,LV,2000,10:50
TIME_SP,T,TOTAL,AC0,LV,2000,10:49
PTP_RT,F,TOTAL,AC0,NL,2010,99.4
PTP_TIME,F,TOTAL,AC0,NL,2010,11:40
TIME_SP,F,TOTAL,AC0,NL,2010,11:35
PTP_RT,M,TOTAL,AC0,NL,2010,99.7
PTP_TIME,M,TOTAL,AC0,NL,2010,10:59
TIME_SP,M,TOTAL,AC0,NL,2010,10:57
PTP_RT,T,TOTAL,AC0,NL,2010,99.5
PTP_TIME,T,TOTAL,AC0,NL,2010,11:20
TIME_SP,T,TOTAL,AC0,NL,2010,11:17
PTP_RT,F,TOTAL,AC0,NO,2000,100.0
PTP_RT,F,TOTAL,AC0,NO,2010,100
PTP_TIME,F,TOTAL,AC0,NO,2000,10:27
PTP_TIME,F,TOTAL,AC0,NO,2010,10:39
TIME_SP,F,TOTAL,AC0,NO,2000,10:27
TIME_SP,F,TOTAL,AC0,NO,2010,10:39
PTP_RT,M,TOTAL,AC0,NO,2000,100.0
PTP_RT,M,TOTAL,AC0,NO,2010,100
PTP_TIME,M,TOTAL,AC0,NO,2000,10:06
PTP_TIME,M,TOTAL,AC0,NO,2010,10:16
TIME_SP,M,TOTAL,AC0,NO,2000,10:06
TIME_SP,M,TOTAL,AC0,NO,2010,10:16
PTP_RT,T,TOTAL,AC0,NO,2000,100.0
PTP_RT,T,TOTAL,AC0,NO,2010,100
PTP_TIME,T,TOTAL,AC0,NO,2000,10:16
PTP_TIME,T,TOTAL,AC0,NO,2010,10:27
TIME_SP,T,TOTAL,AC0,NO,2000,10:16
TIME_SP,T,TOTAL,AC0,NO,2010,10:27
PTP_RT,F,TOTAL,AC0,PL,2000,100.0
PTP_RT,F,TOTAL,AC0,PL,2010,100
PTP_TIME,F,TOTAL,AC0,PL,2000,11:03
PTP_TIME,F,TOTAL,AC0,PL,2010,11:21
TIME_SP,F,TOTAL,AC0,PL,2000,11:03
TIME_SP,F,TOTAL,AC0,PL,2010,11:21
PTP_RT,M,TOTAL,AC0,PL,2000,100.0
PTP_RT,M,TOTAL,AC0,PL,2010,100
PTP_TIME,M,TOTAL,AC0,PL,2000,10:44
PTP_TIME,M,TOTAL,AC0,PL,2010,10:58
TIME_SP,M,TOTAL,AC0,PL,2000,10:44
TIME_SP,M,TOTAL,AC0,PL,2010,10:58
PTP_RT,T,TOTAL,AC0,PL,2000,100.0
PTP_RT,T,TOTAL,AC0,PL,2010,100
PTP_TIME,T,TOTAL,AC0,PL,2000,10:54
PTP_TIME,T,TOTAL,AC0,PL,2010,11:10
TIME_SP,T,TOTAL,AC0,PL,2000,10:54
TIME_SP,T,TOTAL,AC0,PL,2010,11:10
PTP_RT,F,TOTAL,AC0,RO,2010,100
PTP_TIME,F,TOTAL,AC0,RO,2010,11:49
TIME_SP,F,TOTAL,AC0,RO,2010,11:49
PTP_RT,M,TOTAL,AC0,RO,2010,100
PTP_TIME,M,TOTAL,AC0,RO,2010,11:53
TIME_SP,M,TOTAL,AC0,RO,2010,11:53
PTP_RT,T,TOTAL,AC0,RO,2010,100
PTP_TIME,T,TOTAL,AC0,RO,2010,11:51
TIME_SP,T,TOTAL,AC0,RO,2010,11:51
PTP_RT,F,TOTAL,AC0,RS,2010,100
PTP_TIME,F,TOTAL,AC0,RS,2010,11:14
TIME_SP,F,TOTAL,AC0,RS,2010,11:14
PTP_RT,M,TOTAL,AC0,RS,2010,100
PTP_TIME,M,TOTAL,AC0,RS,2010,11:06
TIME_SP,M,TOTAL,AC0,RS,2010,11:06
PTP_RT,T,TOTAL,AC0,RS,2010,100
PTP_TIME,T,TOTAL,AC0,RS,2010,11:10
TIME_SP,T,TOTAL,AC0,RS,2010,11:10
PTP_RT,F,TOTAL,AC0,SI,2000,100.0
PTP_TIME,F,TOTAL,AC0,SI,2000,10:32
TIME_SP,F,TOTAL,AC0,SI,2000,10:32
PTP_RT,M,TOTAL,AC0,SI,2000,100.0
PTP_TIME,M,TOTAL,AC0,SI,2000,10:31
TIME_SP,M,TOTAL,AC0,SI,2000,10:31
PTP_RT,T,TOTAL,AC0,SI,2000,100.0
PTP_TIME,T,TOTAL,AC0,SI,2000,10:31
TIME_SP,T,TOTAL,AC0,SI,2000,10:31
PTP_RT,F,TOTAL,AC0,TR,2010,100
PTP_TIME,F,TOTAL,AC0,TR,2010,11:31
TIME_SP,F,TOTAL,AC0,TR,2010,11:31
PTP_RT,M,TOTAL,AC0,TR,2010,100
PTP_TIME,M,TOTAL,AC0,TR,2010,11:25
TIME_SP,M,TOTAL,AC0,TR,2010,11:25
PTP_RT,T,TOTAL,AC0,TR,2010,100
PTP_TIME,T,TOTAL,AC0,TR,2010,11:28
TIME_SP,T,TOTAL,AC0,TR,2010,11:28
PTP_RT,F,TOTAL,AC0,UK,2000,100.0
PTP_RT,F,TOTAL,AC0,UK,2010,99.8
PTP_TIME,F,TOTAL,AC0,UK,2000,10:43
PTP_TIME,F,TOTAL,AC0,UK,2010,10:53
TIME_SP,F,TOTAL,AC0,UK,2000,10:43
TIME_SP,F,TOTAL,AC0,UK,2010,10:51
PTP_RT,M,TOTAL,AC0,UK,2000,100.0
PTP_RT,M,TOTAL,AC0,UK,2010,99.7
PTP_TIME,M,TOTAL,AC0,UK,2000,10:22
PTP_TIME,M,TOTAL,AC0,UK,2010,10:36
TIME_SP,M,TOTAL,AC0,UK,2000,10:22
TIME_SP,M,TOTAL,AC0,UK,2010,10:34
PTP_RT,T,TOTAL,AC0,UK,2000,100.0
PTP_RT,T,TOTAL,AC0,UK,2010,99.7
PTP_TIME,T,TOTAL,AC0,UK,2000,10:33
PTP_TIME,T,TOTAL,AC0,UK,2010,10:45
TIME_SP,T,TOTAL,AC0,UK,2000,10:33
TIME_SP,T,TOTAL,AC0,UK,2010,10:43
PTP_RT,F,Y15-20,AC0,AT,2010,100
PTP_TIME,F,Y15-20,AC0,AT,2010,10:52
TIME_SP,F,Y15-20,AC0,AT,2010,10:52
PTP_RT,M,Y15-20,AC0,AT,2010,99.5
PTP_TIME,M,Y15-20,AC0,AT,2010,11:01
TIME_SP,M,Y15-20,AC0,AT,2010,10:58
PTP_RT,T,Y15-20,AC0,AT,2010,99.8
PTP_TIME,T,Y15-20,AC0,AT,2010,10:56
TIME_SP,T,Y15-20,AC0,AT,2010,10:55
PTP_RT,F,Y15-20,AC0,BE,2010,100
PTP_TIME,F,Y15-20,AC0,BE,2010,11:40
TIME_SP,F,Y15-20,AC0,BE,2010,11:40
PTP_RT,M,Y15-20,AC0,BE,2010,100
PTP_TIME,M,Y15-20,AC0,BE,2010,11:34
TIME_SP,M,Y15-20,AC0,BE,2010,11:34
PTP_RT,T,Y15-20,AC0,BE,2010,100
PTP_TIME,T,Y15-20,AC0,BE,2010,11:37
TIME_SP,T,Y15-20,AC0,BE,2010,11:37
PTP_RT,F,Y15-20,AC0,DE,2010,100
PTP_TIME,F,Y15-20,AC0,DE,2010,11:26
TIME_SP,F,Y15-20,AC0,DE,2010,11:26
PTP_RT,M,Y15-20,AC0,DE,2010,100
PTP_TIME,M,Y15-20,AC0,DE,2010,11:01
TIME_SP,M,Y15-20,AC0,DE,2010,11:01
PTP_RT,T,Y15-20,AC0,DE,2010,100
PTP_TIME,T,Y15-20,AC0,DE,2010,11:13
TIME_SP,T,Y15-20,AC0,DE,2010,11:13
PTP_RT,F,Y15-20,AC0,EE,2010,100
PTP_TIME,F,Y15-20,AC0,EE,2010,11:38
TIME_SP,F,Y15-20,AC0,EE,2010,11:38
PTP_RT,M,Y15-20,AC0,EE,2010,100
PTP_TIME,M,Y15-20,AC0,EE,2010,11:22
TIME_SP,M,Y15-20,AC0,EE,2010,11:22
PTP_RT,T,Y15-20,AC0,EE,2010,100
PTP_TIME,T,Y15-20,AC0,EE,2010,11:30
TIME_SP,T,Y15-20,AC0,EE,2010,11:30
PTP_RT,F,Y15-20,AC0,EL,2010,100
PTP_TIME,F,Y15-20,AC0,EL,2010,11:13
TIME_SP,F,Y15-20,AC0,EL,2010,11:13
PTP_RT,M,Y15-20,AC0,EL,2010,100
PTP_TIME,M,Y15-20,AC0,EL,2010,11:20
TIME_SP,M,Y15-20,AC0,EL,2010,11:20
PTP_RT,T,Y15-20,AC0,EL,2010,100
PTP_TIME,T,Y15-20,AC0,EL,2010,11:16
