unit,sex,age,acl00,geo,TIME_PERIOD,OBS_VALUE
PTP_TIME,M,TOTAL,AC0,NO,2000,10:06
TIME_SP,M,TOTAL,AC0,NO,2000,10:06
PTP_RT,T,TOTAL,AC0,NO,2000,100.0
PTP_TIME,T,TOTAL,AC0,NO,2000,10:16
TIME_SP,T,TOTAL,AC0,NO,2000,10:16
PTP_RT,F,TOTAL,AC0,PL,2000,100.0
PTP_TIME,F,TOTAL,AC0,PL,2000,11:03
TIME_SP,F,TOTAL,AC0,PL,2000,11:03
PTP_RT,M,TOTAL,AC0,PL,2000,100.0
PTP_TIME,M,TOTAL,AC0,PL,2000,10:44
TIME_SP,M,TOTAL,AC0,PL,2000,10:44
PTP_RT,T,TOTAL,AC0,PL,2000,100.0
PTP_TIME,T,TOTAL,AC0,PL,2000,10:54
TIME_SP,T,TOTAL,AC0,PL,2000,10:54
PTP_RT,F,TOTAL,AC0,SI,2000,100.0
PTP_TIME,F,TOTAL,AC0,SI,2000,10:32
TIME_SP,F,TOTAL,AC0,SI,2000,10:32
PTP_RT,M,TOTAL,AC0,SI,2000,100.0
PTP_TIME,M,TOTAL,AC0,SI,2000,10:31
TIME_SP,M,TOTAL,AC0,SI,2000,10:31
PTP_RT,T,TOTAL,AC0,SI,2000,100.0
PTP_TIME,T,TOTAL,AC0,SI,2000,10:31
TIME_SP,T,TOTAL,AC0,SI,2000,10:31
PTP_RT,F,TOTAL,AC0,UK,2000,100.0
PTP_TIME,F,TOTAL,AC0,UK,2000,10:43
TIME_SP,F,TOTAL,AC0,UK,2000,10:43
PTP_RT,M,TOTAL,AC0,UK,2000,100.0
PTP_TIME,M,TOTAL,AC0,UK,2000,10:22
TIME_SP,M,TOTAL,AC0,UK,2000,10:22
PTP_RT,T,TOTAL,AC0,UK,2000,100.0
PTP_TIME,T,TOTAL,AC0,UK,2000,10:33
TIME_SP,T,TOTAL,AC0,UK,2000,10:33
PTP_RT,F,Y20-24,AC0,BE,2000,100.0
PTP_TIME,F,Y20-24,AC0,BE,2000,11:29
TIME_SP,F,Y20-24,AC0,BE,2000,11:29
PTP_RT,M,Y20-24,AC0,BE,2000,100.0
PTP_TIME,M,Y20-24,AC0,BE,2000,10:47
TIME_SP,M,Y20-24,AC0,BE,2000,10:47
PTP_RT,T,Y20-24,AC0,BE,2000,100.0
PTP_TIME,T,Y20-24,AC0,BE,2000,11:09
TIME_SP,T,Y20-24,AC0,BE,2000,11:09
PTP_RT,F,Y20-24,AC0,BG,2000,100.0
PTP_TIME,F,Y20-24,AC0,BG,2000,12:06
TIME_SP,F,Y20-24,AC0,BG,2000,12:06
PTP_RT,M,Y20-24,AC0,BG,2000,100.0
PTP_TIME,M,Y20-24,AC0,BG,2000,12:15
TIME_SP,M,Y20-24,AC0,BG,2000,12:15
PTP_RT,T,Y20-24,AC0,BG,2000,100.0
PTP_TIME,T,Y20-24,AC0,BG,2000,12:10
TIME_SP,T,Y20-24,AC0,BG,2000,12:10
PTP_RT,F,Y20-24,AC0,DE,2000,100.0
PTP_TIME,F,Y20-24,AC0,DE,2000,10:52
TIME_SP,F,Y20-24,AC0,DE,2000,10:52
PTP_RT,M,Y20-24,AC0,DE,2000,100.0
PTP_TIME,M,Y20-24,AC0,DE,2000,10:38
TIME_SP,M,Y20-24,AC0,DE,2000,10:38
PTP_RT,T,Y20-24,AC0,DE,2000,100.0
PTP_TIME,T,Y20-24,AC0,DE,2000,10:44
TIME_SP,T,Y20-24,AC0,DE,2000,10:44
PTP_RT,F,Y20-24,AC0,EE,2000,99.9
PTP_TIME,F,Y20-24,AC0,EE,2000,11:00
TIME_SP,F,Y20-24,AC0,EE,2000,11:00
PTP_RT,M,Y20-24,AC0,EE,2000,100.0
PTP_TIME,M,Y20-24,AC0,EE,2000,10:29
TIME_SP,M,Y20-24,AC0,EE,2000,10:29
PTP_RT,T,Y20-24,AC0,EE,2000,100.0
PTP_TIME,T,Y20-24,AC0,EE,2000,10:45
TIME_SP,T,Y20-24,AC0,EE,2000,10:44
PTP_RT,F,Y20-24,AC0,ES,2000,100.0
PTP_TIME,F,Y20-24,AC0,ES,2000,11:21
TIME_SP,F,Y20-24,AC0,ES,2000,11:21
PTP_RT,M,Y20-24,AC0,ES,2000,100.0
PTP_TIME,M,Y20-24,AC0,ES,2000,11:07
TIME_SP,M,Y20-24,AC0,ES,2000,11:07
PTP_RT,T,Y20-24,AC0,ES,2000,100.0
PTP_TIME,T,Y20-24,AC0,ES,2000,11:14
TIME_SP,T,Y20-24,AC0,ES,2000,11:14
PTP_RT,F,Y20-24,AC0,FI,2000,100.0
PTP_TIME,F,Y20-24,AC0,FI,2000,11:02
TIME_SP,F,Y20-24,AC0,FI,2000,11:02
PTP_RT,M,Y20-24,AC0,FI,2000,100.0
PTP_TIME,M,Y20-24,AC0,FI,2000,10:53
TIME_SP,M,Y20-24,AC0,FI,2000,10:53
PTP_RT,T,Y20-24,AC0,FI,2000,100.0
PTP_TIME,T,Y20-24,AC0,FI,2000,10:58
TIME_SP,T,Y20-24,AC0,FI,2000,10:58
PTP_RT,F,Y20-24,AC0,FR,2000,100.0
PTP_TIME,F,Y20-24,AC0,FR,2000,12:00
TIME_SP,F,Y20-24,AC0,FR,2000,12:00
PTP_RT,M,Y20-24,AC0,FR,2000,100.0
PTP_TIME,M,Y20-24,AC0,FR,2000,11:48
TIME_SP,M,Y20-24,AC0,FR,2000,11:48
PTP_RT,T,Y20-24,AC0,FR,2000,100.0
PTP_TIME,T,Y20-24,AC0,FR,2000,11:54
TIME_SP,T,Y20-24,AC0,FR,2000,11:54
PTP_RT,F,Y20-24,AC0,IT,2000,100.0
PTP_TIME,F,Y20-24,AC0,IT,2000,11:40
TIME_SP,F,Y20-24,AC0,IT,2000,11:40
PTP_RT,M,Y20-24,AC0,IT,2000,100.0
PTP_TIME,M,Y20-24,AC0,IT,2000,11:22
TIME_SP,M,Y20-24,AC0,IT,2000,11:22
PTP_RT,T,Y20-24,AC0,IT,2000,100.0
PTP_TIME,T,Y20-24,AC0,IT,2000,11:31
TIME_SP,T,Y20-24,AC0,IT,2000,11:31
PTP_RT,F,Y20-24,AC0,LT,2000,100.0
PTP_TIME,F,Y20-24,AC0,LT,2000,11:29
TIME_SP,F,Y20-24,AC0,LT,2000,11:29
PTP_RT,M,Y20-24,AC0,LT,2000,100.0
PTP_TIME,M,Y20-24,AC0,LT,2000,10:59
TIME_SP,M,Y20-24,AC0,LT,2000,10:59
PTP_RT,T,Y20-24,AC0,LT,2000,100.0
PTP_TIME,T,Y20-24,AC0,LT,2000,11:14
TIME_SP,T,Y20-24,AC0,LT,2000,11:14
PTP_RT,F,Y20-24,AC0,LV,2000,100.0
PTP_TIME,F,Y20-24,AC0,LV,2000,11:07
TIME_SP,F,Y20-24,AC0,LV,2000,11:07
PTP_RT,M,Y20-24,AC0,LV,2000,100.0
PTP_TIME,M,Y20-24,AC0,LV,2000,10:39
TIME_SP,M,Y20-24,AC0,LV,2000,10:39
PTP_RT,T,Y20-24,AC0,LV,2000,100.0
PTP_TIME,T,Y20-24,AC0,LV,2000,10:53
TIME_SP,T,Y20-24,AC0,LV,2000,10:53
PTP_RT,F,Y20-24,AC0,NO,2000,100.0
PTP_TIME,F,Y20-24,AC0,NO,2000,10:34
TIME_SP,F,Y20-24,AC0,NO,2000,10:34
PTP_RT,M,Y20-24,AC0,NO,2000,100.0
PTP_TIME,M,Y20-24,AC0,NO,2000,10:27
TIME_SP,M,Y20-24,AC0,NO,2000,10:27
PTP_RT,T,Y20-24,AC0,NO,2000,100.0
PTP_TIME,T,Y20-24,AC0,NO,2000,10:31
TIME_SP,T,Y20-24,AC0,NO,2000,10:31
PTP_RT,F,Y20-24,AC0,PL,2000,100.0
PTP_TIME,F,Y20-24,AC0,PL,2000,11:14
TIME_SP,F,Y20-24,AC0,PL,2000,11:14
PTP_RT,M,Y20-24,AC0,PL,2000,100.0
PTP_TIME,M,Y20-24,AC0,PL,2000,10:59
TIME_SP,M,Y20-24,AC0,PL,2000,10:59
PTP_RT,T,Y20-24,AC0,PL,2000,100.0
PTP_TIME,T,Y20-24,AC0,PL,2000,11:06
TIME_SP,T,Y20-24,AC0,PL,2000,11:06
PTP_RT,F,Y20-24,AC0,SI,2000,100.0
PTP_TIME,F,Y20-24,AC0,SI,2000,10:51
TIME_SP,F,Y20-24,AC0,SI,2000,10:51
PTP_RT,M,Y20-24,AC0,SI,2000,100.0
PTP_TIME,M,Y20-24,AC0,SI,2000,10:44
TIME_SP,M,Y20-24,AC0,SI,2000,10:44
PTP_RT,T,Y20-24,AC0,SI,2000,100.0
PTP_TIME,T,Y20-24,AC0,SI,2000,10:47
TIME_SP,T,Y20-24,AC0,SI,2000,10:47
PTP_RT,F,Y20-24,AC0,UK,2000,100.0
PTP_TIME,F,Y20-24,AC0,UK,2000,11:08
TIME_SP,F,Y20-24,AC0,UK,2000,11:08
PTP_RT,M,Y20-24,AC0,UK,2000,100.0
PTP_TIME,M,Y20-24,AC0,UK,2000,10:51
TIME_SP,M,Y20-24,AC0,UK,2000,10:51
PTP_RT,T,Y20-24,AC0,UK,2000,100.0
PTP_TIME,T,Y20-24,AC0,UK,2000,10:59
